,forecast,lower,upper
2026-10-05,421.12048636663013,303.4392887887223,538.8016839445379
2026-10-06,421.25306479561215,302.73426805256923,539.7718615386551
2026-10-07,421.38564322459416,302.035125423175,540.7361610260133
2026-10-08,421.5182216535761,301.3417388563373,541.6947044508149
2026-10-09,421.65080008255813,300.65399047353094,542.6476096915853
2026-10-12,421.78337851154015,299.97176636552456,543.5949906575557
2026-10-13,421.9159569405221,299.2949564077444,544.5369574732998
2026-10-14,422.0485353695041,298.6234540865346,545.4736166524737
2026-10-15,422.1811137984861,297.9571563355402,546.4050712614319
2026-10-16,422.3136922274681,297.29596338150026,547.3314210734359
2026-10-19,422.4462706564501,296.639778598798,548.2527627141022
2026-10-20,422.57884908543207,295.9885083721682,549.1691897986959
2026-10-21,422.7114275144141,295.34206196700944,550.0807930618187
2026-10-22,422.8440059433961,294.70035140679204,550.9876604800002
2026-10-23,422.97658437237806,294.06329135709325,551.8898773876629
2026-10-26,423.10916280136007,293.4307990158278,552.7875265868923
2026-10-27,423.24174123034203,292.80279400927236,553.6806884514117
2026-10-28,423.37431965932404,292.17919829351587,554.5694410251322
2026-10-29,423.50689808830606,291.55993606099264,555.4538601156195
2026-10-30,423.639476517288,290.94493365178266,556.3340193827934
2026-11-02,423.77205494627003,290.334119469384,557.2099904231561
2026-11-03,423.90463337525205,289.7274239006854,558.0818428498187
2026-11-04,424.037211804234,289.12477923988547,558.9496443685825
2026-11-05,424.169790233216,288.5261196161244,559.8134608503076
2026-11-06,424.302368662198,287.93138092460697,560.673356399789
2026-11-09,424.43494709118,287.3405007610155,561.5293934213445
2026-11-10,424.567525520162,286.7534183590208,562.3816326813032
2026-11-11,424.70010394914397,286.1700745307155,563.2301333675724
2026-11-12,424.832682378126,285.5904116098036,564.0749531464484
2026-11-13,424.965260807108,285.0143733973922,564.9161482168238
2026-11-16,425.09783923608995,284.44190511024124,565.7537733619387
2026-11-17,425.23041766507197,283.8729533313366,566.5878819988073
2026-11-18,425.3629960940539,283.3074659626599,567.418526225448
2026-11-19,425.49557452303594,282.7453921800366,568.2457568660352
2026-11-20,425.62815295201796,282.18668238995315,569.0696235140828
2026-11-23,425.7607313809999,281.631288188237,569.8901745737628
2026-11-24,425.89330980998193,281.0791623205049,570.707457299459
2026-11-25,426.02588823896394,280.53025864428446,571.5215178336434
2026-11-26,426.1584666679459,279.98453209272725,572.3324012431646
2026-11-27,426.2910450969279,279.44193863982866,573.1401515540272
2026-11-30,426.4236235259099,278.9024352670817,573.944811784738
2026-12-01,426.5562019548919,278.36597993149127,574.7464239782926
2026-12-02,426.6887803838739,277.83253153488226,575.5450292328655
2026-12-03,426.82135881285586,277.3020498944387,576.340667731273
2026-12-04,426.9539372418379,276.77449571441304,577.1333787692627
2026-12-07,427.0865156708199,276.24983055895007,577.9232007826897
2026-12-08,427.21909409980185,275.7280168259719,578.7101713736317
2026-12-09,427.35167252878387,275.209017722074,579.4943273354937
2026-12-10,427.4842509577658,274.69279723838457,580.2757046771471
2026-12-11,427.61682938674784,274.1793201273429,581.0543386461527
2026-12-14,427.74940781572985,273.66855188035373,581.830263751106
2026-12-15,427.8819862447118,273.1604587062782,582.6035137831454
2026-12-16,428.0145646736938,272.6550075107229,583.3741218366647
2026-12-17,428.14714310267584,272.1521658760915,584.1421203292603
2026-12-18,428.2797215316578,271.6519020423642,584.9075410209514
2026-12-21,428.4122999606398,271.15418488857466,585.670415032705
2026-12-22,428.5448783896218,270.6589839149505,586.430772864293
